"record_type","age_band","cell_reference","female_population","estimate_date","source_id","source_workbook","sheet"
"source_cell","30 to 34 years","V13","11561557","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"source_cell","35 to 39 years","V14","11622452","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"source_cell","40 to 44 years","V15","11182143","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"source_cell","45 to 49 years","V16","10342933","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"source_cell","50 to 54 years","V17","10103840","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"source_cell","55 to 59 years","V18","10335681","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"source_cell","60 to 64 years","V19","10968287","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"derived_sum","30-59","V13:V18","65148606","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"derived_sum","45-64","V16:V19","41750741","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
"derived_sum","40-64","V15:V19","52932884","2025-07-01","E01","Census-NC-EST2025-AGESEX.xlsx","NC-EST2025-AGESEX"
